84, ,0,0,-1,,,,,,0
84,-4.25,0.87,1,1,51.12,1,0,0,-1,0
84, ,0,0,-1,,,,,,0
84,-4.48,1.98,1,0,-9.21,0,0,0,-1,0
84, ,0,0,-1,,,,,,0
84, ,0,0,-1,,,,,,0
84,2.25,-0.69,1,0,29.81,0,0,0,-1,0
84,0.6,-0.32,1,0,22.4,0,0,0,-1,0
84,0.66,-0.42,1,0,33.55,0,0,0,-1,0
84,1.53,-0.97,1,-2,35.02,-2,0,0,-1,0
169,2.68,0.44,1,-1,2.32,-1,0,0,-1,0
169,1.17,-0.37,1,0,40.93,0,0,-128,-1,-5
84,-0.88,-1.27,1,0,37.72,0,0,-128,-1,-5
84,-0.42,0.88,1,0,-14.77,0,0,-128,-1,-5
84,-0.28,1.36,1,-2,1.62,-2,0,0,-1,0
84,-2.71,1.06,1,1,16.84,1,0,0,-1,0
84, ,0,0,-1,,,,,,0
169,-3.59,-0.21,1,0,12.63,0,0,0,-1,0
169,0.75,0.55,1,-7,0.54,-7,0,0,-1,0
84,1.48,0.85,1,-1,1.85,-1,0,0,-1,0
84,-2.29,1.45,1,5,-12.03,5,0,0,-1,0
84,-3.88,1.63,1,4,-13.95,4,0,0,-1,0
84,-1.22,1.41,1,-1,-7.54,-1,0,0,-1,0
84,1.89,1.01,1,-6,-16.56,-6,0,0,-1,0
84,1.8,1.73,1,-1,-32.37,-1,0,0,-1,0
84,-0.65,2.27,1,0,-42.87,0,0,0,-1,0
84,-1.88,2.45,1,0,-37.39,0,0,0,-1,0
84,-1.28,1,1,0,-11.15,0,0,-127,126,-4.9609375
155,-0.13,0.79,1,0,-24.54,0,0,-128,126,-5
169,0.5,0.94,1,-1,-24.55,-1,0,-128,126,-5
169,-1.21,1.05,1,0,7.82,0,0,-128,126,-5
94,-5.62,4.8,1,3,-51.38,3,0,-128,126,-5
84,-5.64,4.28,1,-3,8.28,-3,0,-7,-1,-0.2734375
84,-2.56,2.18,1,-5,35.37,-5,0,0,-1,0
84,-1.37,1.78,1,-5,36.09,-5,0,0,-1,0
84,-2.23,1.49,1,0,-3.32,0,0,0,-1,0
84,-1.34,-0.61,1,0,38.21,0,0,-128,-1,-5
84,0.74,-2.58,1,-3,59.58,-3,0,-128,-1,-5
148,1.06,-1.82,1,-2,10.46,-2,0,-128,-1,-5
148,-0.46,0.51,1,-2,-11.21,-2,0,-128,-1,-5
84,-4.67,0.36,1,0,15.66,0,0,-29,-1,-1.1328125
84,-6.28,-1.39,1,-1,51.24,-1,0,0,-1,0
84,-3.06,-2.9,1,-8,71.4,-8,0,0,-1,0
84,1.28,-1.28,1,-12,-4.29,-12,0,0,-1,0
84,0.67,1.89,1,-1,-30.69,-1,0,0,-1,0
113,-1.56,1.22,1,0,20.04,0,0,0,-1,0
159,-1.18,-0.94,1,-5,38.06,-5,0,0,-1,0
161,1.67,-0.56,1,-7,14.34,-7,0,0,-1,0
84, ,0,0,-1,,,,,,0
84, ,0,0,-1,,,,,,0
84, ,0,-128,-1,,,,,,0
84,-0.77,0.13,1,0,21.6,0,0,-128,-1,-5
84,0.65,-1.37,1,-6,38.92,-6,0,-128,-1,-5
84,-4.82,2.18,1,5,-1.35,5,0,-128,-1,-5
169,-4.92,0.26,1,-1,15.31,-1,0,0,-1,0
153,-3.42,-0.03,1,-5,0,-5,0,0,-1,0
84,-4.56,0.79,1,0,-22.96,0,0,0,-1,0
84,-4.61,2.37,1,0,-39.24,0,0,0,-1,0
84,0.47,1.97,1,-8,-23.49,-8,0,0,-1,0
84,2.29,1.91,1,-4,-38.98,-4,0,0,-1,0
84,-1.46,1.41,1,6,-17.1,6,0,0,-1,0
84,-3.94,-0.02,1,1,-1.01,1,0,0,-1,0
84,-1.4,-0.3,1,-3,-6.75,-3,0,0,-1,0
141,1.14,-0.41,1,-5,-9.73,-5,0,0,-1,0
157,-0.05,0.86,1,0,-40.51,0,0,0,-1,0
88,-1.68,1.3,1,0,-28.27,0,0,0,-1,0
84,-1.57,0.32,1,-1,-15.99,-1,0,0,-1,0
84,0.56,0.9,1,-5,-34.32,-5,0,0,-1,0
84,0.9,0.18,1,-1,-9.26,-1,0,0,-1,0
84,-1.01,-0.02,1,0,-19.12,0,0,0,-1,0
84,-1.13,0.6,1,-2,-26.43,-2,0,0,126,0
145,-0.24,-0.17,1,-3,-10.42,-3,0,0,126,0
147,0.42,0.18,1,-3,-25.59,-3,0,0,126,0
84,0.33,2.01,1,0,-13.31,0,0,0,-1,0
84,-1,4.72,1,1,-54.65,1,0,0,-1,0
84,-2.04,5.29,1,2,-26.2,2,0,0,-1,0
84,-2.76,0.92,1,1,18.52,1,0,0,-1,0
84,-1.61,-3.09,1,0,52.2,0,0,0,-1,0
169,0.53,-1.9,1,-2,-1.7,-2,0,0,-1,0
169,0.58,-1.14,1,0,5.17,0,0,0,-1,0
159,-1.73,-1.89,1,4,37.25,4,0,0,-1,0
84,-2.31,-3.5,1,2,61.62,2,0,-128,-1,-5
84,-0.11,-3.38,1,-4,42.82,-4,0,-128,3,-5
84,1.08,-0.98,1,-1,0,-1,0,-128,6,-5
84,-0.18,0.13,1,0,-6.76,0,0,-128,4,-5
84,-4.73,2.53,1,10,-55.59,10,0,0,35,0
84,-6.41,2.67,1,2,-18.51,2,0,-74,126,-2.890625
84, ,0,-94,126,,,,,,0
84,-1.35,0.46,1,-3,-4.75,-3,0,-94,126,-3.671875
84,0.88,3.85,1,-1,-43.56,-1,0,-94,126,-3.671875
169,-3.49,7.46,1,3,-68.96,3,0,0,64,0
169,-6.46,5.47,1,5,19.39,5,0,0,-1,0
84,-3.55,2.42,1,-3,42.66,-3,0,0,-1,0
84,1.08,2.66,1,-4,-8.98,-4,0,0,-1,0
84,2.96,1.4,1,-4,15.38,-4,0,0,-1,0
84,2.16,-1.13,1,-1,37.46,-1,0,0,-1,0
84,0.82,-0.91,1,0,18.15,0,0,0,-1,0
84,-0.7,-1.17,1,0,29.8,0,0,0,-1,0
84,-0.2,-1.22,1,0,32.1,0,0,0,-1,0
84,1.29,-1.97,1,-4,55.45,-4,0,0,-1,0
84,0.86,-2.06,1,-1,37.17,-1,0,0,-81,0
153,-0.27,-0.87,1,0,25.3,0,0,-81,-128,-3.1640625
169,-1.24,-1.18,1,2,38.06,2,0,0,-8,0
169,-2.53,-0.4,1,3,-14.82,3,0,0,-1,0
169,-2.87,-1.99,1,0,13.72,0,0,0,-1,0
88,-1.91,-3.96,1,-1,62.75,-1,0,0,-1,0
84,-0.51,0.22,1,0,-13.35,0,0,0,-1,0
84,0.16,1.23,1,0,-22.4,0,0,0,-1,0
84,0.84,2.65,1,0,-32.87,0,0,0,-1,0
84,0.69,2.12,1,0,-13.35,0,0,0,-1,0
166,-0.14,1.2,1,0,-12.12,0,0,0,-1,0
169,-0.71,1.68,1,0,-27.56,0,0,0,-1,0
88,-1.59,1.29,1,2,-18.21,2,0,0,-1,0
84,-2.43,1.21,1,3,-22.73,3,0,0,94,0
84,-1.32,1.83,1,0,-31.57,0,0,0,126,0
84,-0.93,1.6,1,1,-35.11,1,0,0,126,0
84,-0.03,3.14,1,-1,-44.35,-1,0,0,126,0
84,0.72,5.38,1,0,-52.65,0,0,0,-1,0
84,0.02,5.48,1,1,-34.42,1,0,0,-1,0
115,-1.25,5.12,1,4,-25.13,4,0,0,-1,0
107,-1.34,3.2,1,2,-23.89,2,0,0,-1,0
84,-1,-1.61,1,1,49.87,1,0,-128,-1,-5
84,-1.21,-3.47,1,3,41.24,3,0,-128,-1,-5
128,-1.4,-1.93,1,3,4.12,3,0,-128,-1,-5
146,-1.98,-0.56,1,1,6.28,1,0,-128,-1,-5
146,-4.32,-2.1,1,3,49.71,3,0,-128,-1,-5
84,-5.3,-2.63,1,2,33.58,2,0,0,-1,0
84,-4.64,-1.52,1,0,28.99,0,0,0,-1,0
84,-4,-2.24,1,0,45.8,0,0,0,-1,0
84,-1.43,-0.92,1,0,6.09,0,0,0,-1,0
84,2.26,0.5,1,-7,0,-7,0,0,-1,0
84,2.66,0.42,1,-1,12.19,-1,0,0,-1,0
84,0.73,-0.18,1,1,22.4,1,0,0,-1,0
130,-0.16,-0.4,1,0,14.7,0,0,0,-1,0
141,0.25,0.69,1,0,-11.01,0,0,0,-1,0
139,1.7,1.14,1,-2,-6.82,-2,0,0,-1,0
84,2.06,1.51,1,-2,-19.89,-2,0,0,-1,0
84,2.25,2.27,1,-3,-36.27,-3,0,0,-1,0
84,1.79,1.43,1,-1,-11.9,-1,0,0,-1,0
84,0.72,2.18,1,0,-37.42,0,0,0,-1,0
84,-0.53,1.54,1,0,-11.11,0,0,0,-1,0
84,-2.15,-0.46,1,4,19.39,4,0,0,-1,0
84,-2.23,-0.75,1,1,2.1,1,0,0,-1,0
84,-1.56,-0.42,1,1,1.96,1,0,-128,-1,-5
84,-2.73,-0.27,1,4,-6.34,4,0,-128,-1,-5
151,-2.17,1.12,1,2,-31.83,2,0,-128,-1,-5
169,-2.99,1.68,1,1,-33.84,1,0,-128,-1,-5
122, ,0,-128,-1,,,,,,0
84,-6.43,0.39,1,-1,-2.61,-1,0,-128,-1,-5
84,-1.12,-0.76,1,-6,5,-6,0,-128,-1,-5
84,-1.24,0.33,1,0,-37.35,0,0,0,-1,0
84,-3.12,2.54,1,0,-62.68,0,0,0,-1,0
84,-5.46,1.07,1,7,-2.49,7,0,0,-1,0
84,-5.25,-1.83,1,0,42.58,0,0,0,-1,0
94,3.03,-2.44,1,-14,13.92,-14,0,0,-1,0
143,7.51,0.94,1,-9,-66.56,-9,0,0,-1,0
101, ,0,0,-1,,,,,,0
115, ,0,0,-1,,,,,,0
85,-3.9,2.38,1,0,-54.29,0,0,0,-1,0
84,5.58,0.69,1,-8,-30.66,-8,0,0,-1,0
84,3.09,2.11,1,-3,-68.36,-3,0,0,-1,0
84,0.16,0.62,1,-1,-1.02,-1,0,0,-1,0
